name,date,amount_usd,chain,original_classification,original_technique,vulnerability_class,layer,exploitability,confidence,notes
dTRINITY dLEND,1773705600,257000,Ethereum,Protocol Logic,Deposit Inflation Attack,precision_rounding,protocol_logic,dilution,high,Share/deposit inflation attack
Venus Core Pool,1773532800,3700000,BSC,Protocol Logic,Donation Attack,precision_rounding,protocol_logic,direct_drain,high,Donation/share inflation attack on vault
Goose Finance,1773446400,8435,BSC,Protocol Logic,Share Accounting Flaw,accounting_error,protocol_logic,direct_drain,high,Share accounting flaw
Aave V3,1773273600,862000,Ethereum,Ecosystem,CAPO Oracle Misconfiguration,oracle_manipulation,protocol_logic,direct_drain,high,CAPO oracle misconfiguration
Stake DAO,1773273600,176000,"Arbitrum, Base",Protocol Logic,Oracle Message Spoofing,oracle_manipulation,integration,direct_drain,high,Spoofed cross-chain oracle message
Gondi V3,1773014400,230000,Ethereum,Protocol Logic,PurchaseBundler Exploit,authz_bypass,solidity_source,direct_drain,low,Bundler contract authorization bypass
Molt EVM,1772841600,127000,Base,Protocol Logic,onlySpawnerToken Modifier Hack,access_control,solidity_source,direct_drain,high,Bypass of onlySpawnerToken modifier
SolvBTC,1772755200,2700000,Ethereum,Protocol Logic,Mint Reserves Logic Exploit,accounting_error,protocol_logic,direct_drain,medium,Mint/reserve accounting bug
Curve LlamaLend,1772409600,240000,Ethereum,Protocol Logic,Donation Attack,precision_rounding,protocol_logic,direct_drain,high,Donation share-inflation attack
FOOM Cash,1772409600,2260000,"Ethereum, Base",Protocol Logic,Fake Proof Spam,authz_bypass,solidity_source,direct_drain,medium,Fake proofs accepted by verifier
Wise Lending V2,1772236800,66000,"Arbitrum, Ethereum",Protocol Logic,Flashloan Exploit,flashloan_abuse,protocol_logic,direct_drain,low,Flashloan exploit no specific vector
Ploutos Money,1772064000,390000,Ethereum,Protocol Logic,Misconfigured Oracle Exploit,oracle_manipulation,protocol_logic,direct_drain,high,Oracle misconfiguration
DGLD,1771804800,0,Base,Protocol Logic,Infinite Mint and Dump,access_control,solidity_source,direct_drain,medium,Unrestricted mint then dump
Veil Cash,1771632000,5000,Base,Protocol Logic,misconfigured Groth16 verifier,other,solidity_source,direct_drain,medium,Misconfigured ZK Groth16 verifier accepts invalid proofs
Moonwell Lending,1771113600,1780000,Base,Protocol Logic,cbETH Collateral Exploit,oracle_manipulation,protocol_logic,direct_drain,medium,cbETH collateral pricing exploit
Revert Lend,1769644800,50000,Base,Protocol Logic,Staked Collateral Exploit,accounting_error,protocol_logic,direct_drain,low,Staked collateral accounting issue
Matcha,1769299200,13430000,"Base, Ethereum",Protocol Logic,Unlimited Approval Exploit,access_control,solidity_source,direct_drain,medium,Abuse of unlimited approval router
Aperture LM,1769299200,3200000,"Ethereum, Base, BSC",Protocol Logic,,other,protocol_logic,direct_drain,low,No technique provided in source data
Saga,1768953600,7000000,Saga,Protocol Logic,Infinite Mint and Dump,access_control,solidity_source,direct_drain,medium,Unrestricted mint
Makina,1768780800,4200000,Ethereum,Protocol Logic,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Flashloan-driven oracle manipulation
YO Protocol,1768262400,3730000,Ethereum,Protocol Logic,Slippage Exploit,accounting_error,protocol_logic,direct_drain,medium,Missing/insufficient slippage check
Truebit,1767830400,26400000,Ethereum,Protocol Logic,Bonding Curve Exploit,accounting_error,tokenomics,direct_drain,medium,Bonding curve math flaw
Polycule,1767744000,230000,Polygon,Protocol Logic,,other,protocol_logic,direct_drain,low,No technique data provided
Fusion by IPOR,1767657600,336000,Arbitrum,Protocol Logic,EIP-7702 Delegation Exploit,authz_bypass,integration,direct_drain,medium,EIP-7702 delegation abused for auth bypass
TMX TRIBE,1767571200,1400000,Arbitrum,Protocol Logic,Mint & Stake Loop Exploit,accounting_error,tokenomics,direct_drain,medium,Mint-stake loop accounting/incentive abuse
PRXVT,1767225600,97000,Base,Protocol Logic,Sybil Attack with CREATE2 Addresses,other,tokenomics,dilution,medium,Sybil farming via CREATE2 to bypass per-address caps
Unleash Protocol,1767052800,3900000,Story,Protocol Logic,Multisig Governance Hack,governance_capture,protocol_logic,governance_capture,medium,Multisig governance compromised
MSCST,1766880000,129900,BSC,Protocol Logic,Atomic Sandwich Attack,oracle_manipulation,protocol_logic,direct_drain,medium,Sandwich/price manipulation in single tx
Flow,1766793600,3900000,Flow,Protocol Logic,mint-and-dump Hack,access_control,solidity_source,direct_drain,medium,Unrestricted mint then dump
Rari Capital,1766016000,2000000,Ethereum,Protocol Logic,Uninitialized Proxy Hijack,initialization_bug,proxy_storage,privilege_escalation,high,Uninitialized proxy/implementation hijack
FutureSwap,1765843200,270000,Ethereum,Protocol Logic,Flashloan Governance Attack,governance_capture,protocol_logic,governance_capture,high,Flashloan to capture governance vote
Yearn Finance,1765843200,300000,Ethereum,Protocol Logic,misconfigured Fulcrum sUSD strategy,accounting_error,integration,direct_drain,medium,Misconfigured strategy integration
0G Labs,1765411200,516000,0G,Protocol Logic,emergencyWithdraw Function Exploit,access_control,solidity_source,direct_drain,high,Open emergencyWithdraw missing access check
US Permissionless Dollar,1764806400,1000000,Ethereum,Protocol Logic,"""CPIMP"" proxy front-run",initialization_bug,proxy_storage,privilege_escalation,medium,Proxy initialization front-run
Yearn Ether,1764460800,9000000,Ethereum,Protocol Logic,yETH stablepool Exploit,accounting_error,protocol_logic,direct_drain,low,Stablepool accounting/exchange-rate exploit
Port3 Network,1763856000,166000,BSC,Protocol Logic,Infinite Mint and Dump,access_control,solidity_source,direct_drain,medium,Unrestricted mint
Impermax V3,1762819200,380000,Base,Protocol Logic,Zero-Rate Hack,accounting_error,protocol_logic,direct_drain,medium,Zero interest rate accounting bug
Moonwell Lending,1762214400,1000000,"Base, Optimism",Protocol Logic,Oracle Price Feed Manipulation,oracle_manipulation,protocol_logic,direct_drain,high,Oracle price feed manipulation
Balancer V2,1762128000,128000000,"Ethereum, Arbitrum, Base, Polygon, Sonic, Optimism",Protocol Logic,Composable Stable Pools Exploit,precision_rounding,protocol_logic,direct_drain,medium,Composable stable pool rounding/invariant exploit
Sharwa.Finance,1760918400,146000,Arbitrum,Protocol Logic,Price Manipulation Attack,oracle_manipulation,protocol_logic,direct_drain,high,Price manipulation
Astera.fi,1759968000,573000,Linea,Protocol Logic,Oracle Price Feed Manipulation,oracle_manipulation,protocol_logic,direct_drain,high,Oracle feed manipulation
Abracadabra Spell,1759536000,1700000,Ethereum,Protocol Logic,Sequential State Manipulation Exploit,accounting_error,protocol_logic,direct_drain,medium,Sequential state mutation across calls
Hyperdrive HL,1758931200,773000,Hyperliquid L1,Protocol Logic,Router Exploit,authz_bypass,solidity_source,direct_drain,low,Router contract auth/validation bypass
UXLINK,1758499200,11300000,"Ethereum, Arbitrum",Protocol Logic,Delegatecall Exploit,authz_bypass,solidity_source,privilege_escalation,high,Delegatecall to attacker logic
Shibarium,1757721600,3000000,Shibarium,Protocol Logic,Validator Stake Manipulation by Flashloan,governance_capture,protocol_logic,governance_capture,medium,Flashloan to manipulate validator stake/voting
Bunni V2,1756771200,8400000,"Ethereum, Unichain",Protocol Logic,Liquidity Distribution Function Exploit,precision_rounding,protocol_logic,direct_drain,medium,Liquidity distribution math/rounding flaw
Cozy V2,1756512000,427000,Optimism,Protocol Logic,Insufficient Sender Verification Exploit,access_control,solidity_source,direct_drain,high,Missing msg.sender verification
BetterBank,1756166400,5000000,PulseChain,Protocol Logic,Infinite Mint and Dump,access_control,solidity_source,direct_drain,medium,Unrestricted mint
Panoptic V1.1,1756080000,0,"Base, Unichain, Ethereum",Protocol Logic,,other,protocol_logic,direct_drain,low,No technique data provided
Coinbase,1755043200,300000,Ethereum,Ecosystem,MEV composability attack,other,integration,direct_drain,low,MEV-driven composability attack across protocols
numa.,1754784000,320000,Sonic,Protocol Logic,NumaVault Exploit,accounting_error,protocol_logic,direct_drain,low,Vault accounting flaw insufficient detail
SuperRare,1753660800,730000,Ethereum,Protocol Logic,updateMerkleRoot Access Control Exploit,access_control,solidity_source,direct_drain,high,Open updateMerkleRoot function
Arcadia V2,1752537600,2500000,Base,Protocol Logic,Rebalancer contract reentrancy hack,reentrancy,solidity_source,direct_drain,high,Reentrancy in rebalancer contract
Kinto Bridge,1752105600,1550000,Arbitrum,Protocol Logic,ERC1967Proxy Backdoor Hijack,upgradeability_flaw,proxy_storage,privilege_escalation,high,Backdoored proxy upgrade hijack
GMX V1 Perps,1752019200,42000000,Arbitrum,Protocol Logic,Re-entrancy Exploit,reentrancy,solidity_source,direct_drain,high,Reentrancy exploit
Peapods Finance,1751932800,175000,Ethereum,Ecosystem,Oracle manipulation in user-created Pods,oracle_manipulation,protocol_logic,direct_drain,high,Oracle manipulation in user-created pods
Silo Finance,1750809600,546000,Ethereum,Protocol Logic,fillQuote silo.borrow() Exploit,authz_bypass,solidity_source,direct_drain,medium,fillQuote allowed unauthorized borrow
Resupply,1750809600,9600000,Ethereum,Protocol Logic,Price Oracle Manipulation,oracle_manipulation,protocol_logic,direct_drain,high,Oracle manipulation
Cork V1,1748390400,12000000,Ethereum,Protocol Logic,Access control bypass via hook,access_control,solidity_source,direct_drain,high,Hook used to bypass access control
Usual USD0,1748304000,43000,Ethereum,Protocol Logic,Arbitration Exploit,accounting_error,protocol_logic,direct_drain,low,Arbitration/redemption logic flaw
Dexodus Finance,1748217600,300000,Base,Protocol Logic,Price Manipulation Attack,oracle_manipulation,protocol_logic,direct_drain,high,Price manipulation
Zunami Protocol,1747267200,500000,Ethereum,Protocol Logic,withdrawStuckToken() exploit,access_control,solidity_source,direct_drain,high,Open withdrawStuckToken admin function
Mobius Token,1746921600,2160000,BSC,Protocol Logic,Decimal Miscalculation Exploit,precision_rounding,solidity_source,direct_drain,high,Decimal/precision miscalculation
Impermax V3,1745625600,300000,Base,Protocol Logic,Flashloan Exploit,flashloan_abuse,protocol_logic,direct_drain,low,Flashloan exploit no specific vector
Bitcoin Mission,1745280000,1300000,Arbitrum,Protocol Logic,overPaper Function Exploit,access_control,solidity_source,direct_drain,low,Unrestricted overPaper function
KiloEx,1744588800,7500000,"BSC, Base, Taiko",Protocol Logic,Price Oracle Manipulation,oracle_manipulation,protocol_logic,direct_drain,high,Oracle price manipulation
Tenderize V2,1743984000,10850,Ethereum,Protocol Logic,Proxy Upgrade Skim,upgradeability_flaw,proxy_storage,direct_drain,medium,Proxy upgrade used to skim funds
UPCX,1743465600,0,Ethereum,Protocol Logic,Upgraded ProxyAdmin + withdrawByAdmin Hack,upgradeability_flaw,proxy_storage,privilege_escalation,high,ProxyAdmin upgrade enabled withdrawByAdmin
SIR,1743292800,355000,Ethereum,Protocol Logic,Transient storage collision,storage_collision,solidity_source,direct_drain,high,Transient storage slot collision
Venus Core Pool,1743206400,902000,zkSync Era,Protocol Logic,Donation Attack,precision_rounding,protocol_logic,direct_drain,high,Donation share inflation attack
Abracadabra Spell,1742860800,13000000,Arbitrum,Protocol Logic,,other,protocol_logic,direct_drain,low,No technique data provided
1inch,1741305600,5000000,Ethereum,Protocol Logic,Calldata underflow and resolver hijack,authz_bypass,solidity_source,direct_drain,medium,Calldata parsing underflow enabling resolver hijack
Hegic(old contract),1740787200,94000,Ethereum,Protocol Logic,Unlimited repeated withdrawal exploit,accounting_error,solidity_source,direct_drain,high,Missing balance update on withdrawal
four.meme,1739232000,183000,BSC,Protocol Logic,Liquidity Pool Exploit,accounting_error,protocol_logic,direct_drain,low,LP logic exploit insufficient detail
Ionic Protocol,1738627200,4000000,Mode,Protocol Logic,Fake Collateral Exploit,accounting_error,protocol_logic,direct_drain,medium,Fake collateral accepted
Sirio Finance,1738368000,2000000,Hedera,Protocol Logic,Flashloan Exploit,flashloan_abuse,protocol_logic,direct_drain,low,Flashloan exploit no specific vector
Unilend V2,1736640000,197600,Ethereum,Protocol Logic,Redeem Process Exploit,accounting_error,protocol_logic,direct_drain,medium,Redeem flow accounting bug allowed draining
MoonHacker,1735776000,300000,Optimism,Protocol Logic,Unchecked FlashLoan Approve Exploit,access_control,solidity_source,direct_drain,medium,Unchecked approve in flashloan callback indicates missing validation
Fegex,1735430400,900000,"Ethereum, BSC, Base",Protocol Logic,Missing Access Control,access_control,solidity_source,direct_drain,high,Explicit missing access control
Vestra DAO,1733270400,500000,Ethereum,Protocol Logic,Staking Logic Exploit,accounting_error,protocol_logic,direct_drain,low,"Staking logic bug,  exact mechanism unclear"
DeltaPrime,1731283200,4800000,"Arbitrum, Avalanche",Protocol Logic,Debt Swap Exploit,accounting_error,protocol_logic,direct_drain,medium,Debt-swap accounting flaw
Radiant V2,1729036800,53000000,"BSC, Arbitrum",Protocol Logic,Access Control Exploit,access_control,solidity_source,privilege_escalation,high,Multisig/admin compromise via access control
LeadBlock's Morpho Blue Market,1728864000,250000,Ethereum,Protocol Logic,Oracle Misconfiguration Exploit,oracle_manipulation,integration,direct_drain,high,Oracle misconfig in market params
Lava,1728000000,130000,Arbitrum,Protocol Logic,Flashloan Exploit,flashloan_abuse,protocol_logic,direct_drain,low,"Generic flashloan exploit,  no oracle context"
uniBTC,1727308800,1700000,Ethereum,Protocol Logic,Minting Logic Exploit,accounting_error,solidity_source,direct_drain,medium,Minting logic flaw allowed unauthorized mint
Onyx V2,1727308800,4000000,Ethereum,Protocol Logic,Liquidation Logic Exploit,liquidation_bug,protocol_logic,direct_drain,high,Liquidation logic bug
OcelotDex,1726790400,4900000,Ethereum,Protocol Logic,Infinite Mint and Dump,access_control,solidity_source,direct_drain,medium,Infinite mint typically unprotected mint function
WXETA,1726444800,110000,"Ethereum, BSC",Protocol Logic,Access Control Exploit,access_control,solidity_source,direct_drain,high,Access control bug
Penpie,1725321600,27000000,Ethereum,Protocol Logic,Reentrancy,reentrancy,solidity_source,direct_drain,high,Classic reentrancy on Pendle market registration
PolyNetwork,1723420800,5000000,PolyNetwork,Protocol Logic,Reentrancy,reentrancy,solidity_source,direct_drain,high,Reentrancy
Nexera,1722988800,1800000,Ethereum,Protocol Logic,Ownership Override Attack,access_control,proxy_storage,privilege_escalation,medium,Ownership override suggests admin takeover
Ronin Bridge,1722902400,12000000,Ethereum,Protocol Logic,MEV bot manipulation exploit,other,protocol_logic,direct_drain,low,MEV-bot manipulation; not a clean fit in taxonomy
Convergence,1722470400,210000,Ethereum,Protocol Logic,Missing Input Validation,access_control,solidity_source,direct_drain,medium,Missing input validation enabling unauth action
DeltaPrime,1721692800,1000000,Arbitrum,Protocol Logic,,accounting_error,protocol_logic,direct_drain,low,No technique field; likely accounting per first DeltaPrime hack
Rho Markets,1721347200,7600000,Scroll,Protocol Logic,Price Oracle Manipulation,oracle_manipulation,integration,direct_drain,high,Oracle manipulation
LiFi Finance,1721088000,9730000,"zkSync Era, Linea, Metis",Protocol Logic,Router Exploit via Infinite Approvals,access_control,solidity_source,direct_drain,high,Router did not validate calldata; abused approvals
Minterest,1721001600,1400000,Mantle,Protocol Logic,Reentrancy,reentrancy,solidity_source,direct_drain,high,Reentrancy
Dough Finance,1720742400,1960000,Ethereum,Protocol Logic,Unvalidated call data exploit,access_control,solidity_source,direct_drain,medium,Unvalidated calldata in external call
OKX NFT Aggregator,1718841600,14000,BSC,Protocol Logic,Access Control Exploit,access_control,solidity_source,direct_drain,high,Access control bug
Holograph,1718236800,6700000,Ethereum,Protocol Logic,Infinite Mint and Dump,access_control,solidity_source,direct_drain,medium,Infinite mint via missing access control
UwU Lend,1718236800,3700000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,integration,direct_drain,high,Flashloan-driven oracle manipulation
YOLO Games,1718064000,1500000,Blast,Protocol Logic,Access Control Exploit,access_control,solidity_source,direct_drain,high,Access control bug
UwU Lend,1717977600,20000000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,integration,direct_drain,high,Flashloan-driven oracle manipulation
Velocore V2,1717286400,6800000,"Linea, zkSync Era",Protocol Logic,Fee Overflow Exploit,accounting_error,solidity_source,direct_drain,high,Fee calculation overflow
Gala,1716163200,22000000,Ethereum,Protocol Logic,Infinite Mint and Dump,access_control,solidity_source,direct_drain,medium,Unprotected mint function
Sonne Finance,1715731200,20000000,Optimism,Ecosystem,Flashloan Donate Function Logic Exploit,precision_rounding,protocol_logic,direct_drain,high,Compound-fork empty-market donation/share inflation
Pike V1,1714435200,1600000,"Ethereum, Optimism, Arbitrum",Protocol Logic,Storage Misalignment Exploit,storage_collision,proxy_storage,direct_drain,high,Storage slot misalignment
Yield Protocol,1714435200,181000,Arbitrum,Protocol Logic,Balance Disparity Exploit,accounting_error,protocol_logic,direct_drain,medium,Balance disparity accounting bug
Magpie Protocol,1713830400,129000,"Ethereum, Polygon, BSC, Blast, Avalanche, Arbitrum, Optimism, Base, zkSync Era, Polygon zkEVM",Protocol Logic,Router Exploit,access_control,solidity_source,direct_drain,medium,Router exploit abusing approvals
Hedgey,1713484800,44700000,"Arbitrum, Ethereum",Ecosystem,Claim Contract Flashloan Exploit,access_control,solidity_source,direct_drain,medium,Claim function lacked validation; flashloan vector
Lava,1711670400,340000,Arbitrum,Protocol Logic,Calculation Error in Liquidation Engine,liquidation_bug,protocol_logic,direct_drain,high,Liquidation calc error
PrismaLST,1711584000,11600000,Ethereum,Protocol Logic,Flashloan Trove Manipulation,accounting_error,protocol_logic,direct_drain,medium,Trove manipulation via flashloan
Munchables,1711411200,62500000,Blast,Protocol Logic,Storage Slot Exploit,upgradeability_flaw,proxy_storage,privilege_escalation,high,Malicious upgrade via storage slot/init
Curio,1711324800,16000000,Ethereum,Protocol Logic,Voting Power Inflation,governance_capture,protocol_logic,governance_capture,high,Voting power inflation took governance
Super Sushi Samurai,1711065600,4800000,Blast,Protocol Logic,Infinite Mint and Dump,accounting_error,solidity_source,direct_drain,medium,Token transfer logic bug enabling balance duplication
Dolomite,1710892800,1800000,Ethereum,Protocol Logic,Acces Control Exploit,access_control,solidity_source,direct_drain,high,Access control bug
Unizen,1709856000,2100000,Ethereum,Protocol Logic,External Call Vulnerability,access_control,solidity_source,direct_drain,medium,Arbitrary external call without validation
WOOFi Swap,1709596800,8500000,Arbitrum,Protocol Logic,Price Oracle Manipulation,oracle_manipulation,integration,direct_drain,high,sPMM oracle manipulation
Seneca,1709078400,6500000,"Ethereum, Arbitrum",Protocol Logic,Token approval exploit,access_control,solidity_source,direct_drain,medium,Arbitrary call abusing approvals
BlueBerry,1708732800,1400000,Ethereum,Protocol Logic,Flashloan Price Oracle Attack,oracle_manipulation,integration,direct_drain,high,Oracle manipulation via flashloan
Tectonic,1708560000,250000,Cronos,Protocol Logic,Flashloan New Market Exploit,precision_rounding,protocol_logic,direct_drain,medium,Empty new market share inflation pattern
Abracadabra Spell,1706572800,6500000,Ethereum,Protocol Logic,Borrow Logic Exploit,accounting_error,protocol_logic,direct_drain,medium,Borrow logic accounting flaw
Bungee,1705363200,3300000,Ethereum,Protocol Logic,Missing Input Validation,access_control,solidity_source,direct_drain,medium,Router missing input validation
Wise Lending V1,1705017600,464000,Ethereum,Protocol Logic,Rounding Donation Attack,precision_rounding,protocol_logic,direct_drain,high,Rounding/donation share inflation
Gamma,1704326400,4500000,Arbitrum,Protocol Logic,Price Manipulation Attack,oracle_manipulation,integration,direct_drain,high,Price manipulation
Radiant V2,1704153600,4500000,Arbitrum,Protocol Logic,Flashloan New Market Exploit,precision_rounding,protocol_logic,direct_drain,medium,Empty market share inflation
Orbit Bridge,1703980800,81700000,Ethereum,Protocol Logic,Signature Exploit,signature_replay,solidity_source,direct_drain,medium,Bridge signature validation bug
KyberSwap Elastic,1700611200,48000000,"Ethereum, Base, Polygon, Optimism, Arbitrum",Protocol Logic,Flashloan Swap Logic Exploit,accounting_error,protocol_logic,direct_drain,high,Tick-boundary precision/accounting bug in swap
Raft,1699574400,3300000,Ethereum,Protocol Logic,Infinite Mint and Dump,precision_rounding,protocol_logic,direct_drain,medium,Rounding-based collateral inflation
Onyx Protocol,1698796800,2100000,Ethereum,Ecosystem,Flashloan Donate Function Logic Exploit,precision_rounding,protocol_logic,direct_drain,high,Compound-fork empty-market donate/share inflation
Unibot,1698710400,640000,Ethereum,Protocol Logic,Token approval exploit,access_control,solidity_source,direct_drain,medium,Arbitrary call abusing user approvals
Platypus Finance,1697155200,2200000,Avalanche,Protocol Logic,Reentrancy,reentrancy,solidity_source,direct_drain,high,Reentrancy
Arena SocialFi,1696636800,2900000,Avalanche,Protocol Logic,Reentrancy,reentrancy,solidity_source,direct_drain,high,Reentrancy
Balancer V2,1693094400,800000,Ethereum,Protocol Logic,,precision_rounding,protocol_logic,direct_drain,low,No technique; Balancer V2 boosted-pool rounding incident
Exactly,1692316800,7200000,Optimism,Protocol Logic,DebtManager Exploit,access_control,solidity_source,direct_drain,medium,DebtManager unvalidated calldata
Zunami Protocol,1691884800,2100000,Ethereum,Ecosystem,Price Manipulation Attack,oracle_manipulation,integration,direct_drain,high,Curve LP price manipulation
Earning.Farm,1691539200,540000,Ethereum,Protocol Logic,Reentrancy,reentrancy,solidity_source,direct_drain,high,Reentrancy
LeetSwap,1690848000,620000,Base,Protocol Logic,Liquidity Pools Compromised,access_control,solidity_source,direct_drain,low,Pool compromised; mechanism unclear
EraLend,1690243200,3400000,zkSync Era,Protocol Logic,Reentrancy,reentrancy,solidity_source,direct_drain,high,Read-only reentrancy via zkSync quirks
Palmswap,1690156800,900000,BSC,Protocol Logic,Inflationary Accounting Manipulation,accounting_error,protocol_logic,direct_drain,medium,Inflationary accounting bug
Conic Finance,1689984000,300000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,integration,direct_drain,high,Oracle manipulation via flashloan
Conic Finance,1689897600,3200000,Ethereum,Ecosystem,Flashloan Reentrancy Attack,reentrancy,solidity_source,direct_drain,high,Reentrancy via ETH transfer in handler
Rodeo,1688428800,90000,Arbitrum,Protocol Logic,Mint Reserves Logic Exploit,accounting_error,protocol_logic,direct_drain,medium,Mint reserves accounting bug
AzukiDAO,1688342400,68000,Ethereum,Protocol Logic,Replay Attack,signature_replay,solidity_source,direct_drain,high,Signature replay
Themis Protocol,1687824000,370000,Arbitrum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,integration,direct_drain,high,Flashloan oracle manipulation
Midas Capital,1686960000,600000,BSC,Protocol Logic,Redeem Rounding Error Exploit,precision_rounding,protocol_logic,direct_drain,high,Redeem rounding error
Tropykus RSK,1686700800,150000,Rootstock,Protocol Logic,Redeem Rounding Error Exploit,precision_rounding,protocol_logic,direct_drain,high,Redeem rounding error
Sturdy V1,1686528000,770000,Ethereum,Ecosystem,Flashloan Reentrancy Attack,reentrancy,solidity_source,direct_drain,high,Reentrancy via flashloan
Jimbos Protocol,1685232000,7500000,Arbitrum,Ecosystem,Flashloan Slippage Attack,accounting_error,protocol_logic,direct_drain,medium,Missing slippage protection on rebalance
Local Traders,1684886400,118000,BSC,Protocol Logic,Access Control Exploit,access_control,solidity_source,direct_drain,high,Access control bug
DEUS Finance,1683244800,6500000,"Arbitrum, BSC, Ethereum",Protocol Logic,Burn Function Mistake,access_control,solidity_source,direct_drain,medium,Burn function with wrong recipient/check
Level Perps,1682899200,1000000,BSC,Protocol Logic,Referral Claims Logic Exploit,accounting_error,protocol_logic,direct_drain,medium,Referral claim double-counting
0vix,1682640000,2000000,Polygon,Ecosystem,Flashloan Donate Function Logic Exploit,precision_rounding,protocol_logic,direct_drain,high,Compound-fork donate share inflation
Hundred Finance,1681516800,7000000,Optimism,Protocol Logic,Flashloan Donate Function Logic Exploit,precision_rounding,protocol_logic,direct_drain,high,Compound-fork donate share inflation
Yearn Finance,1681344000,11539000,Ethereum,Ecosystem,Flashloan Misconfiguration Exploit,initialization_bug,solidity_source,direct_drain,medium,iearn yUSDT misconfigured token in old contract
SushiSwap,1681084800,3300000,"Ethereum, Arbitrum, Optimism, BSC",Protocol Logic,Missing Input Validation,access_control,solidity_source,direct_drain,high,RouteProcessor2 missing route validation
