name,date,amount_usd,chain,original_classification,original_technique,vulnerability_class,layer,exploitability,confidence,notes
dTRINITY dLEND,1773705600,257000,Ethereum,Protocol Logic,Deposit Inflation Attack,precision_rounding,protocol_logic,dilution,high,Share/deposit inflation attack
Venus Core Pool,1773532800,3700000,BSC,Protocol Logic,Donation Attack,precision_rounding,protocol_logic,direct_drain,high,Donation/share inflation attack on vault
Goose Finance,1773446400,8435,BSC,Protocol Logic,Share Accounting Flaw,accounting_error,protocol_logic,direct_drain,high,Share accounting flaw
Aave V3,1773273600,862000,Ethereum,Ecosystem,CAPO Oracle Misconfiguration,oracle_manipulation,protocol_logic,direct_drain,high,CAPO oracle misconfiguration
Stake DAO,1773273600,176000,"Arbitrum, Base",Protocol Logic,Oracle Message Spoofing,oracle_manipulation,integration,direct_drain,high,Spoofed cross-chain oracle message
Gondi V3,1773014400,230000,Ethereum,Protocol Logic,PurchaseBundler Exploit,authz_bypass,solidity_source,direct_drain,low,Bundler contract authorization bypass
Molt EVM,1772841600,127000,Base,Protocol Logic,onlySpawnerToken Modifier Hack,access_control,solidity_source,direct_drain,high,Bypass of onlySpawnerToken modifier
SolvBTC,1772755200,2700000,Ethereum,Protocol Logic,Mint Reserves Logic Exploit,accounting_error,protocol_logic,direct_drain,medium,Mint/reserve accounting bug
Curve LlamaLend,1772409600,240000,Ethereum,Protocol Logic,Donation Attack,precision_rounding,protocol_logic,direct_drain,high,Donation share-inflation attack
FOOM Cash,1772409600,2260000,"Ethereum, Base",Protocol Logic,Fake Proof Spam,authz_bypass,solidity_source,direct_drain,medium,Fake proofs accepted by verifier
Wise Lending V2,1772236800,66000,"Arbitrum, Ethereum",Protocol Logic,Flashloan Exploit,flashloan_abuse,protocol_logic,direct_drain,low,Flashloan exploit no specific vector
Ploutos Money,1772064000,390000,Ethereum,Protocol Logic,Misconfigured Oracle Exploit,oracle_manipulation,protocol_logic,direct_drain,high,Oracle misconfiguration
DGLD,1771804800,0,Base,Protocol Logic,Infinite Mint and Dump,access_control,solidity_source,direct_drain,medium,Unrestricted mint then dump
Veil Cash,1771632000,5000,Base,Protocol Logic,misconfigured Groth16 verifier,other,solidity_source,direct_drain,medium,Misconfigured ZK Groth16 verifier accepts invalid proofs
Moonwell Lending,1771113600,1780000,Base,Protocol Logic,cbETH Collateral Exploit,oracle_manipulation,protocol_logic,direct_drain,medium,cbETH collateral pricing exploit
Revert Lend,1769644800,50000,Base,Protocol Logic,Staked Collateral Exploit,accounting_error,protocol_logic,direct_drain,low,Staked collateral accounting issue
Matcha,1769299200,13430000,"Base, Ethereum",Protocol Logic,Unlimited Approval Exploit,access_control,solidity_source,direct_drain,medium,Abuse of unlimited approval router
Aperture LM,1769299200,3200000,"Ethereum, Base, BSC",Protocol Logic,,other,protocol_logic,direct_drain,low,No technique provided in source data
Saga,1768953600,7000000,Saga,Protocol Logic,Infinite Mint and Dump,access_control,solidity_source,direct_drain,medium,Unrestricted mint
Makina,1768780800,4200000,Ethereum,Protocol Logic,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Flashloan-driven oracle manipulation
YO Protocol,1768262400,3730000,Ethereum,Protocol Logic,Slippage Exploit,accounting_error,protocol_logic,direct_drain,medium,Missing/insufficient slippage check
Truebit,1767830400,26400000,Ethereum,Protocol Logic,Bonding Curve Exploit,accounting_error,tokenomics,direct_drain,medium,Bonding curve math flaw
Polycule,1767744000,230000,Polygon,Protocol Logic,,other,protocol_logic,direct_drain,low,No technique data provided
Fusion by IPOR,1767657600,336000,Arbitrum,Protocol Logic,EIP-7702 Delegation Exploit,authz_bypass,integration,direct_drain,medium,EIP-7702 delegation abused for auth bypass
TMX TRIBE,1767571200,1400000,Arbitrum,Protocol Logic,Mint & Stake Loop Exploit,accounting_error,tokenomics,direct_drain,medium,Mint-stake loop accounting/incentive abuse
PRXVT,1767225600,97000,Base,Protocol Logic,Sybil Attack with CREATE2 Addresses,other,tokenomics,dilution,medium,Sybil farming via CREATE2 to bypass per-address caps
Unleash Protocol,1767052800,3900000,Story,Protocol Logic,Multisig Governance Hack,governance_capture,protocol_logic,governance_capture,medium,Multisig governance compromised
MSCST,1766880000,129900,BSC,Protocol Logic,Atomic Sandwich Attack,oracle_manipulation,protocol_logic,direct_drain,medium,Sandwich/price manipulation in single tx
Flow,1766793600,3900000,Flow,Protocol Logic,mint-and-dump Hack,access_control,solidity_source,direct_drain,medium,Unrestricted mint then dump
Rari Capital,1766016000,2000000,Ethereum,Protocol Logic,Uninitialized Proxy Hijack,initialization_bug,proxy_storage,privilege_escalation,high,Uninitialized proxy/implementation hijack
FutureSwap,1765843200,270000,Ethereum,Protocol Logic,Flashloan Governance Attack,governance_capture,protocol_logic,governance_capture,high,Flashloan to capture governance vote
Yearn Finance,1765843200,300000,Ethereum,Protocol Logic,misconfigured Fulcrum sUSD strategy,accounting_error,integration,direct_drain,medium,Misconfigured strategy integration
0G Labs,1765411200,516000,0G,Protocol Logic,emergencyWithdraw Function Exploit,access_control,solidity_source,direct_drain,high,Open emergencyWithdraw missing access check
US Permissionless Dollar,1764806400,1000000,Ethereum,Protocol Logic,"""CPIMP"" proxy front-run",initialization_bug,proxy_storage,privilege_escalation,medium,Proxy initialization front-run
Yearn Ether,1764460800,9000000,Ethereum,Protocol Logic,yETH stablepool Exploit,accounting_error,protocol_logic,direct_drain,low,Stablepool accounting/exchange-rate exploit
Port3 Network,1763856000,166000,BSC,Protocol Logic,Infinite Mint and Dump,access_control,solidity_source,direct_drain,medium,Unrestricted mint
Impermax V3,1762819200,380000,Base,Protocol Logic,Zero-Rate Hack,accounting_error,protocol_logic,direct_drain,medium,Zero interest rate accounting bug
Moonwell Lending,1762214400,1000000,"Base, Optimism",Protocol Logic,Oracle Price Feed Manipulation,oracle_manipulation,protocol_logic,direct_drain,high,Oracle price feed manipulation
Balancer V2,1762128000,128000000,"Ethereum, Arbitrum, Base, Polygon, Sonic, Optimism",Protocol Logic,Composable Stable Pools Exploit,precision_rounding,protocol_logic,direct_drain,medium,Composable stable pool rounding/invariant exploit
Sharwa.Finance,1760918400,146000,Arbitrum,Protocol Logic,Price Manipulation Attack,oracle_manipulation,protocol_logic,direct_drain,high,Price manipulation
Astera.fi,1759968000,573000,Linea,Protocol Logic,Oracle Price Feed Manipulation,oracle_manipulation,protocol_logic,direct_drain,high,Oracle feed manipulation
Abracadabra Spell,1759536000,1700000,Ethereum,Protocol Logic,Sequential State Manipulation Exploit,accounting_error,protocol_logic,direct_drain,medium,Sequential state mutation across calls
Hyperdrive HL,1758931200,773000,Hyperliquid L1,Protocol Logic,Router Exploit,authz_bypass,solidity_source,direct_drain,low,Router contract auth/validation bypass
UXLINK,1758499200,11300000,"Ethereum, Arbitrum",Protocol Logic,Delegatecall Exploit,authz_bypass,solidity_source,privilege_escalation,high,Delegatecall to attacker logic
Shibarium,1757721600,3000000,Shibarium,Protocol Logic,Validator Stake Manipulation by Flashloan,governance_capture,protocol_logic,governance_capture,medium,Flashloan to manipulate validator stake/voting
Bunni V2,1756771200,8400000,"Ethereum, Unichain",Protocol Logic,Liquidity Distribution Function Exploit,precision_rounding,protocol_logic,direct_drain,medium,Liquidity distribution math/rounding flaw
Cozy V2,1756512000,427000,Optimism,Protocol Logic,Insufficient Sender Verification Exploit,access_control,solidity_source,direct_drain,high,Missing msg.sender verification
BetterBank,1756166400,5000000,PulseChain,Protocol Logic,Infinite Mint and Dump,access_control,solidity_source,direct_drain,medium,Unrestricted mint
Panoptic V1.1,1756080000,0,"Base, Unichain, Ethereum",Protocol Logic,,other,protocol_logic,direct_drain,low,No technique data provided
Coinbase,1755043200,300000,Ethereum,Ecosystem,MEV composability attack,other,integration,direct_drain,low,MEV-driven composability attack across protocols
numa.,1754784000,320000,Sonic,Protocol Logic,NumaVault Exploit,accounting_error,protocol_logic,direct_drain,low,Vault accounting flaw insufficient detail
SuperRare,1753660800,730000,Ethereum,Protocol Logic,updateMerkleRoot Access Control Exploit,access_control,solidity_source,direct_drain,high,Open updateMerkleRoot function
Arcadia V2,1752537600,2500000,Base,Protocol Logic,Rebalancer contract reentrancy hack,reentrancy,solidity_source,direct_drain,high,Reentrancy in rebalancer contract
Kinto Bridge,1752105600,1550000,Arbitrum,Protocol Logic,ERC1967Proxy Backdoor Hijack,upgradeability_flaw,proxy_storage,privilege_escalation,high,Backdoored proxy upgrade hijack
GMX V1 Perps,1752019200,42000000,Arbitrum,Protocol Logic,Re-entrancy Exploit,reentrancy,solidity_source,direct_drain,high,Reentrancy exploit
Peapods Finance,1751932800,175000,Ethereum,Ecosystem,Oracle manipulation in user-created Pods,oracle_manipulation,protocol_logic,direct_drain,high,Oracle manipulation in user-created pods
Silo Finance,1750809600,546000,Ethereum,Protocol Logic,fillQuote silo.borrow() Exploit,authz_bypass,solidity_source,direct_drain,medium,fillQuote allowed unauthorized borrow
Resupply,1750809600,9600000,Ethereum,Protocol Logic,Price Oracle Manipulation,oracle_manipulation,protocol_logic,direct_drain,high,Oracle manipulation
Cork V1,1748390400,12000000,Ethereum,Protocol Logic,Access control bypass via hook,access_control,solidity_source,direct_drain,high,Hook used to bypass access control
Usual USD0,1748304000,43000,Ethereum,Protocol Logic,Arbitration Exploit,accounting_error,protocol_logic,direct_drain,low,Arbitration/redemption logic flaw
Dexodus Finance,1748217600,300000,Base,Protocol Logic,Price Manipulation Attack,oracle_manipulation,protocol_logic,direct_drain,high,Price manipulation
Zunami Protocol,1747267200,500000,Ethereum,Protocol Logic,withdrawStuckToken() exploit,access_control,solidity_source,direct_drain,high,Open withdrawStuckToken admin function
Mobius Token,1746921600,2160000,BSC,Protocol Logic,Decimal Miscalculation Exploit,precision_rounding,solidity_source,direct_drain,high,Decimal/precision miscalculation
Impermax V3,1745625600,300000,Base,Protocol Logic,Flashloan Exploit,flashloan_abuse,protocol_logic,direct_drain,low,Flashloan exploit no specific vector
Bitcoin Mission,1745280000,1300000,Arbitrum,Protocol Logic,overPaper Function Exploit,access_control,solidity_source,direct_drain,low,Unrestricted overPaper function
KiloEx,1744588800,7500000,"BSC, Base, Taiko",Protocol Logic,Price Oracle Manipulation,oracle_manipulation,protocol_logic,direct_drain,high,Oracle price manipulation
Tenderize V2,1743984000,10850,Ethereum,Protocol Logic,Proxy Upgrade Skim,upgradeability_flaw,proxy_storage,direct_drain,medium,Proxy upgrade used to skim funds
UPCX,1743465600,0,Ethereum,Protocol Logic,Upgraded ProxyAdmin + withdrawByAdmin Hack,upgradeability_flaw,proxy_storage,privilege_escalation,high,ProxyAdmin upgrade enabled withdrawByAdmin
SIR,1743292800,355000,Ethereum,Protocol Logic,Transient storage collision,storage_collision,solidity_source,direct_drain,high,Transient storage slot collision
Venus Core Pool,1743206400,902000,zkSync Era,Protocol Logic,Donation Attack,precision_rounding,protocol_logic,direct_drain,high,Donation share inflation attack
Abracadabra Spell,1742860800,13000000,Arbitrum,Protocol Logic,,other,protocol_logic,direct_drain,low,No technique data provided
1inch,1741305600,5000000,Ethereum,Protocol Logic,Calldata underflow and resolver hijack,authz_bypass,solidity_source,direct_drain,medium,Calldata parsing underflow enabling resolver hijack
Hegic(old contract),1740787200,94000,Ethereum,Protocol Logic,Unlimited repeated withdrawal exploit,accounting_error,solidity_source,direct_drain,high,Missing balance update on withdrawal
four.meme,1739232000,183000,BSC,Protocol Logic,Liquidity Pool Exploit,accounting_error,protocol_logic,direct_drain,low,LP logic exploit insufficient detail
Ionic Protocol,1738627200,4000000,Mode,Protocol Logic,Fake Collateral Exploit,accounting_error,protocol_logic,direct_drain,medium,Fake collateral accepted
Sirio Finance,1738368000,2000000,Hedera,Protocol Logic,Flashloan Exploit,flashloan_abuse,protocol_logic,direct_drain,low,Flashloan exploit no specific vector
