name,date,amount_usd,chain,original_classification,original_technique,vulnerability_class,layer,exploitability,confidence,notes,keep,keep_reason,sources
Impermax V3,1745625600,300000,Base,Protocol Logic,Flashloan Exploit,accounting_error,protocol_logic,direct_drain,high,"UniV3 LP collateral valuation counted uncollected fees; attacker self-generated fees via swaps then borrowed and self-liquidated for bad debt",yes,Solidity collateral valuation bug,https://www.quillaudits.com/blog/hack-analysis/how-impermax-v3-lost-300k-in-flashloan-attack|https://blog.verichains.io/p/inside-the-impermax-v3-hack
Bitcoin Mission,1745280000,1300000,Arbitrum,Protocol Logic,overPaper Function Exploit,access_control,solidity_source,direct_drain,low,"research inconclusive: original technique suggests unrestricted overPaper() admin/mint function but no public postmortem located",yes,Likely missing access control on privileged function,
Abracadabra Spell,1742860800,13000000,Arbitrum,Protocol Logic,,accounting_error,protocol_logic,direct_drain,high,"GMX-integrated cauldron: failed GMX deposit left order in OrderAgent; attacker self-liquidated then borrowed against the wiped position",yes,State-tracking bug across GMX integration,https://www.halborn.com/blog/post/explained-the-abracadabra-money-hack-march-2025|https://threesigma.xyz/blog/exploit/mimspell-abracadabra-hack-breakdown
four.meme,1739232000,183000,BSC,Protocol Logic,Liquidity Pool Exploit,oracle_manipulation,protocol_logic,direct_drain,high,"Token migration to PancakeSwap v3 used pool's existing price; attacker front-ran by pre-creating pool with skewed price, drained migrated LP",yes,On-chain price-source manipulation at migration,https://www.quillaudits.com/blog/hack-analysis/four-meme-attack-analysis
Sirio Finance,1738368000,2000000,Hedera,Protocol Logic,Flashloan Exploit,flashloan_abuse,protocol_logic,direct_drain,low,"research inconclusive: Sirio Hedera lender hit via Bonzo flashloans then borrow+withdraw; specific mechanic not publicly disclosed",yes,On-chain lending exploit but exact root cause undisclosed,https://allincrypto.com/ai-driven-defi-protocol-on-hedera-hbar-hacked-millions/
Vestra DAO,1733270400,500000,Ethereum,Protocol Logic,Staking Logic Exploit,accounting_error,solidity_source,direct_drain,high,"unStake() lacked isActive check; attacker repeatedly called it on already-unstaked position, harvesting 20k VSTR yield each call",yes,Missing state validation in Solidity staking,https://medium.com/coinmonks/overview-c1a710e0ea9f
Lava,1728000000,130000,Arbitrum,Protocol Logic,Flashloan Exploit,other,protocol_logic,direct_drain,low,"research inconclusive: only March 2024 Lava Lending flashloan ($340k) documented; Oct 2024 $130k Arbitrum incident details not located",yes,On-chain flashloan exploit but root cause unverified,
Ronin Bridge,1722902400,12000000,Ethereum,Protocol Logic,MEV bot manipulation exploit,initialization_bug,protocol_logic,direct_drain,high,"V2 upgrade ran initializeV4 but skipped initializeV3, leaving _totalOperatorWeight=0 and minVoteWeight=0; any signature passed bridge",yes,Classic upgrade initialization bug; whitehat-recovered,https://www.halborn.com/blog/post/explained-the-ronin-network-hack-august-2024|https://blog.solidityscan.com/ronin-bridge-hack-analysis-d8f64b8fe683
DeltaPrime,1721692800,1000000,Arbitrum,Protocol Logic,,access_control,solidity_source,privilege_escalation,medium,"July 2024 DeltaPrime: misconfiguration allowed account takeover, repaying loans and withdrawing collateral (smaller precursor to Sept key leak)",yes,Solidity access-control / config bug,https://www.halborn.com/blog/post/explained-the-deltaprime-hack-september-2024
Balancer V2,1693094400,800000,Ethereum,Protocol Logic,,precision_rounding,solidity_source,direct_drain,high,"ERC4626 LinearPool rounding-down combined with rate reset on 0 BPT supply; flashSwap pumped rate to drain Boosted Pools (whitehat $130k bounty)",yes,Solidity rounding/precision bug in BoostedPool math,https://immunefi.com/blog/bug-fix-reviews/balancer-rounding-error/|https://blocksecteam.medium.com/yet-another-risk-posed-by-precision-loss-an-in-depth-analysis-of-the-recent-balancer-incident-fad93a3c75d4
LeetSwap,1690848000,620000,Base,Protocol Logic,Liquidity Pools Compromised,access_control,solidity_source,direct_drain,high,"_transferFeesSupportingTaxTokens (and other internal fee functions) left external/public, letting anyone manipulate pool reserves and drain WETH",yes,Missing internal/access modifier on fee function,https://decrypt.co/150826/leetswap-dex-pauses-trading-base-due-potential-exploit
pNetwork,1667433600,4589449,BSC,Protocol Logic,Misconfiguration,other,integration,dilution,medium,"pGALA bridge BSC-side misconfiguration allowed unauthorized minting; pNetwork pre-emptively minted 28.4B pGALA to drain PCS pool defensively",yes,On-chain bridge config flaw enabling unauthorized mint,https://thedefiant.io/news/defi/pnetwork-misconfiguration-gala-1b-hack
