name,date,amount_usd,chain,original_classification,original_technique,vulnerability_class,layer,exploitability,confidence,notes
Meter,1644105600,7700000,Ethereum,Protocol Logic,Deposit Function Exploit,accounting_error,solidity_source,direct_drain,high,Bridge deposit credited tokens without actual transfer.
Qubit,1643328000,80000000,BSC,Protocol Logic,Transfer Logic Exploit,accounting_error,solidity_source,direct_drain,high,Bridge deposit logic accepted zero-address ERC20 as native.
Gamma,1640044800,8200000,Ethereum,Protocol Logic,Access Control Exploit,access_control,solidity_source,direct_drain,high,Missing access control on privileged function.
Bent Finance,1640044800,1750000,Ethereum,Protocol Logic,User Balances Manually Updated,access_control,solidity_source,direct_drain,high,Owner-callable balance update abused to mint rewards.
Grim Finance,1639785600,30000000,Fantom,Ecosystem,Flashloan Reentrancy Attack,reentrancy,solidity_source,direct_drain,high,Vault deposit allowed arbitrary token reentrancy.
MonoX,1638230400,31400000,"Ethereum, Polygon",Protocol Logic,Swap Function Exploit,accounting_error,protocol_logic,direct_drain,high,Self-swap inflated token price via shared accounting.
ChainSwap,1636243200,4400000,"Ethereum, BSC",Protocol Logic,Exploit Weak Authentication Check,signature_replay,solidity_source,direct_drain,high,Bridge signature validation weak enabling forged claims.
Vesper Finance,1635897600,3370000,Ethereum,Protocol Logic,Oracle Manipulation,oracle_manipulation,protocol_logic,direct_drain,high,Oracle manipulation on Vesper strategy.
CREAM Lending,1635292800,130000000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Manipulated yUSD price via flashloan.
Indexed Finance,1634169600,16000000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Index pool reweighting + flashloan price manipulation.
Compound V2,1632873600,147000000,Ethereum,Protocol Logic,Math Mistake Exploit,accounting_error,solidity_source,direct_drain,high,Comptroller drip math error over-distributed COMP rewards.
Vee Finance,1632182400,34000000,Avalanche,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Pangolin spot price oracle manipulation.
NowSwap,1631664000,1000000,Ethereum,Protocol Logic,Inconsistent Value in Code,accounting_error,solidity_source,direct_drain,medium,Hardcoded constant inconsistent with pool config allowed drain.
Zabu Finance,1631404800,3200000,Avalanche,Protocol Logic,Flashloan Exploit,accounting_error,protocol_logic,direct_drain,medium,Reward accounting bug exploited with flashloan deposit.
DAO Maker Vesting,1630713600,4000000,Ethereum,Protocol Logic,Access Control Exploit,access_control,solidity_source,direct_drain,high,Missing onlyOwner on init function allowed reinit and drain.
Siren,1630627200,3450000,Polygon,Smart Contract Language,Reentrancy,reentrancy,solidity_source,direct_drain,high,Reentrancy in AMM pool collateral handling.
CREAM Lending,1630281600,18800000,Ethereum,Ecosystem,Flashloan Reentrancy Attack,reentrancy,solidity_source,direct_drain,high,AMP token ERC777-style hook reentrancy.
xToken,1630195200,4500000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Spot price oracle manipulation on Bancor pool.
SurgeBNB,1629158400,4000000,BSC,Ecosystem,Flashloan Reentrancy Attack,reentrancy,solidity_source,direct_drain,high,Reentrancy in token transfer rewards.
Acala Network,1628812800,1600000,Acala,Protocol Logic,Incentives Function Mistake,accounting_error,protocol_logic,direct_drain,medium,Incentive distribution misconfiguration over-issued aUSD.
Punk Protocol,1628553600,8950000,Ethereum,Smart Contract Language,Delegatecall Exploit,initialization_bug,solidity_source,direct_drain,high,Uninitialized Forge implementation allowed delegatecall hijack.
Poly Network,1628553600,611000000,"Ethereum, BSC, Polygon",Protocol Logic,Access Control Exploit,access_control,solidity_source,privilege_escalation,high,Cross-chain manager allowed forging keeper role via crafted calldata.
Popsicle Finance,1627948800,20000000,Ethereum,Ecosystem,Flashloan Incentive Rewards Exploit,accounting_error,solidity_source,direct_drain,high,Reward accounting on transfer let attacker double-claim fees.
Thorchain DEX,1626912000,8000000,Ethereum,Protocol Logic,Refund Logic Exploit,accounting_error,protocol_logic,direct_drain,medium,Refund logic accepted spoofed asset metadata.
Bunny,1626393600,2400000,BSC,Ecosystem,Flashloan Incentive Rewards Exploit,accounting_error,protocol_logic,direct_drain,medium,Reward minting based on manipulable balance.
Thorchain DEX,1626307200,5000000,Ethereum,Protocol Logic,Over-ride Logic Exploit,accounting_error,protocol_logic,direct_drain,medium,Router override logic let attacker spoof deposits.
Merlin,1624924800,330000,BSC,Protocol Logic,Incentive Rewards Exploit,accounting_error,protocol_logic,direct_drain,medium,Incentive reward minting bug.
Safe Dollar,1624838400,248000,Polygon,Protocol Logic,Incentive Rewards Exploit,accounting_error,protocol_logic,direct_drain,medium,Reward distribution accounting flaw drained pool.
Eleven Finance,1624320000,4500000,BSC,Ecosystem,Flashloan Burn Function Exploit,access_control,solidity_source,direct_drain,high,Public burn/withdraw function allowed arbitrary caller drain.
Alchemix V2,1623801600,6500000,Ethereum,Protocol Logic,Borrow Logic Exploit,accounting_error,protocol_logic,frozen_funds,medium,Borrow logic mistake credited users with extra collateral.
Belt Finance,1622246400,6300000,BSC,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Strategy share-price oracle manipulation via flashloan.
Merlin,1621987200,550000,BSC,Protocol Logic,Math Mistake Exploit,accounting_error,protocol_logic,direct_drain,medium,Math mistake in reward calculation.
Merlin,1621987200,680000,BSC,Ecosystem,Flashloan Incentive Rewards Exploit,accounting_error,protocol_logic,direct_drain,medium,Flashloan abused incentive reward accounting.
Bunny,1621382400,45000000,BSC,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,LP price manipulation triggered inflated BUNNY mint.
xToken,1620777600,24000000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Spot price oracle manipulation on xSNX/xBNT.
Rari Capital,1620432000,10000000,Ethereum,Protocol Logic,Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Oracle manipulation against Rari ETH pool via Alpha integration.
ValueDefi,1620345600,11000000,BSC,Protocol Logic,Math Mistake Exploit,accounting_error,protocol_logic,direct_drain,medium,Math error in vault accounting.
ValueDefi,1620172800,10000000,BSC,Protocol Logic,Access Control Exploit,access_control,solidity_source,direct_drain,high,Missing access control on privileged function.
Spartan,1619913600,30500000,BSC,Ecosystem,Flashloan Pool Shares Exploit,accounting_error,protocol_logic,direct_drain,high,Faulty liquidity-share calculation manipulated via flashloan.
Uranium Finance,1619568000,57200000,BSC,Protocol Logic,Math Mistake Exploit,accounting_error,solidity_source,direct_drain,high,Migration changed swap invariant constant incorrectly (10000 vs 1000).
DEUS Finance,1615766400,3000000,Fantom,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Flashloan price oracle manipulation.
DODO AMM,1615248000,2000000,Ethereum,Protocol Logic,Access Control Exploit,initialization_bug,solidity_source,direct_drain,high,Public init function on crowdpool re-callable to set malicious tokens.
Furucombo,1614384000,14000000,Ethereum,Smart Contract Language,Delegatecall Exploit,authz_bypass,solidity_source,direct_drain,high,Delegatecall to attacker-controlled implementation drained approvals.
Alpha Finance,1613174400,37500000,Ethereum,Ecosystem,Flashloan Pool Shares Exploit,accounting_error,protocol_logic,direct_drain,high,sUSD pool share accounting bug exploited via flashloan.
Growth DeFi,1612828800,1300000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Flashloan-driven oracle manipulation.
Yearn Finance,1612483200,11000000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Curve pool virtual price manipulation via flashloan.
Cover Protocol,1609200000,9400000,Ethereum,Protocol Logic,Incentives Function Mistake,accounting_error,solidity_source,dilution,high,Mint function memory/storage bug allowed infinite COVER mint.
Warp Protocol,1608249600,7800000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,LP token price oracle manipulation.
Pickle,1606003200,19700000,Ethereum,Protocol Logic,Vault Swap Exploit,accounting_error,protocol_logic,direct_drain,high,Vault swap accepted unauthorized jar exchange.
Origin Protocol,1605571200,8000000,Ethereum,Ecosystem,Flashloan Reentrancy Attack,reentrancy,solidity_source,direct_drain,high,Reentrancy on OUSD mint with fake stablecoin.
ValueDefi,1605312000,7000000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Curve oracle manipulation via flashloan.
Akropolis,1605139200,2000000,Ethereum,Ecosystem,Flashloan Reentrancy Attack,reentrancy,solidity_source,direct_drain,high,Reentrancy via fake ERC20 in deposit.
Harvest Finance,1603670400,25000000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Curve Y-pool spot price manipulation via flashloan.
Eminence,1601251200,15000000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Bonding curve price manipulation via flashloan.
Lendf.me,1587254400,1200000,Ethereum,Smart Contract Language,Reentrancy,reentrancy,solidity_source,direct_drain,high,ERC777 imBTC reentrancy on supply function.
Parity Multisig,1510185600,150000000,Ethereum,Protocol Logic,Contract not initialized,initialization_bug,solidity_source,frozen_funds,high,Library left uninitialized; attacker took ownership and self-destructed.
The DAO,1466121600,60000000,Ethereum,Protocol Logic,Reentrancy,reentrancy,solidity_source,direct_drain,high,Classic reentrancy on splitDAO withdraw.
